query_id,config_top_k,config_threshold,config_temperature,config_response_mode,map_score,mrr_score,correctness,relevancy,faithfulness,bleu_score,total_time
2e49387e,3,0.5,0.0,compact,1.0,1.0,5.0,1.0,0.0,0.8250286473253902,2.9672389030456543
93940125,3,0.5,0.0,compact,1.0,1.0,4.0,1.0,1.0,0.18885003485394347,4.898256778717041
f1ac1852,3,0.5,0.0,compact,0.0,0.0,2.0,0.0,0.0,6.577638255979825e-155,1.8638598918914795
849d3361,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,2.4459309577941895
ca450431,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,0.0,0.23028309323591914,2.249520778656006
00bdad3f,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,0.0,0.35043832202523123,1.836111068725586
3b06dd93,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.2382757663726807
ba3790fa,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.2285430431365967
65d98c76,3,0.5,0.1,compact,1.0,1.0,4.0,1.0,1.0,0.43837575820390956,2.196915864944458
03a533a3,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.6376450061798096
67fabf7a,3,0.5,0.1,compact,1.0,1.0,3.0,1.0,0.0,0.367006645104718,2.5598909854888916
841e8920,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,1.0,0.0793289204176126,4.304013013839722
d42eca7d,3,0.5,0.1,compact,1.0,1.0,4.0,1.0,1.0,0.5052279240652235,1.8386421203613281
f6d4e2a5,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.6834661960601807
209d67b9,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.5262110233306885
f2aa0c49,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,1.0,0.7977240352174656,1.3461880683898926
63e2a964,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.8256568908691406
d1440325,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.2288038730621338
44d5b178,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,2.254112720489502
347708ad,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,1.0,0.8370455349335584,1.02156400680542
2e49387e,3,0.5,0.1,compact,1.0,1.0,5.0,1.0,0.0,0.7523736213252469,2.1519341468811035
93940125,3,0.5,0.1,compact,1.0,1.0,4.0,1.0,1.0,0.18885003485394347,2.4587249755859375
f1ac1852,3,0.5,0.1,compact,0.0,0.0,2.0,0.0,0.0,6.488142408864259e-155,4.6099772453308105
849d3361,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.382688045501709
ca450431,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.21081851067789198,1.9866690635681152
00bdad3f,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,0.0,0.35043832202523123,2.430980682373047
3b06dd93,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.1106960773468018
ba3790fa,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.4751598834991455
65d98c76,3,0.5,0.5,compact,1.0,1.0,4.0,1.0,1.0,0.43837575820390956,1.658707857131958
03a533a3,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,1.0,1.0,2.4540958404541016
67fabf7a,3,0.5,0.5,compact,1.0,1.0,3.0,1.0,0.0,0.35355339059327373,2.35787296295166
841e8920,3,0.5,0.5,compact,1.0,1.0,4.0,1.0,1.0,0.0742123603558262,5.842828035354614
d42eca7d,3,0.5,0.5,compact,1.0,1.0,4.0,1.0,1.0,0.5052279240652235,5.70319676399231
f6d4e2a5,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.6343159675598145
209d67b9,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.331969976425171
f2aa0c49,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.7977240352174656,1.5310420989990234
63e2a964,3,0.5,0.5,compact,1.0,1.0,4.0,1.0,0.0,0.50709255283711,1.9477367401123047
d1440325,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,0.0,0.5424975142220966,1.3452141284942627
44d5b178,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.0507729053497314
347708ad,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.8370455349335584,2.768911838531494
2e49387e,3,0.5,0.5,compact,1.0,1.0,5.0,1.0,0.0,0.7523736213252469,1.7418920993804932
93940125,3,0.5,0.5,compact,1.0,1.0,4.0,1.0,1.0,0.23493574694968233,2.2530481815338135
f1ac1852,3,0.5,0.5,compact,0.0,0.0,2.0,0.0,0.0,6.319590421966513e-155,1.9773807525634766
849d3361,3,0.7,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.7299981117248535
ca450431,3,0.7,0.0,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00bdad3f,3,0.7,0.0,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3b06dd93,3,0.7,0.0,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba3790fa,3,0.7,0.0,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65d98c76,3,0.7,0.0,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03a533a3,3,0.7,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.527461051940918
67fabf7a,3,0.7,0.0,compact,1.0,1.0,3.0,1.0,0.0,0.3454325860389904,2.45784592628479
841e8920,3,0.7,0.0,compact,1.0,1.0,4.0,1.0,0.0,0.09541300465126665,3.5834622383117676
d42eca7d,3,0.7,0.0,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f6d4e2a5,3,0.7,0.0,compact,1.0,1.0,3.0,1.0,0.0,0.39339789623472154,1.600250244140625
209d67b9,3,0.7,0.0,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f2aa0c49,3,0.7,0.0,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63e2a964,3,0.7,0.0,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1440325,3,0.7,0.0,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44d5b178,3,0.7,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.884169101715088
347708ad,3,0.7,0.0,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2e49387e,3,0.7,0.0,compact,1.0,1.0,4.0,1.0,0.0,0.16064585037358273,1.4196927547454834
93940125,3,0.7,0.0,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1ac1852,3,0.7,0.0,compact,0.0,0.0,2.0,0.0,0.0,6.562464906460785e-155,1.3539378643035889
849d3361,3,0.7,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.4323668479919434
ca450431,3,0.7,0.1,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00bdad3f,3,0.7,0.1,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3b06dd93,3,0.7,0.1,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba3790fa,3,0.7,0.1,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65d98c76,3,0.7,0.1,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03a533a3,3,0.7,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.4340741634368896
67fabf7a,3,0.7,0.1,compact,1.0,1.0,3.0,1.0,0.0,0.3454325860389904,2.053487777709961
841e8920,3,0.7,0.1,compact,1.0,1.0,4.0,1.0,0.0,0.09655571609675997,2.648282051086426
d42eca7d,3,0.7,0.1,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f6d4e2a5,3,0.7,0.1,compact,1.0,1.0,5.0,1.0,0.0,0.5026246899500345,2.4630367755889893
209d67b9,3,0.7,0.1,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f2aa0c49,3,0.7,0.1,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63e2a964,3,0.7,0.1,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1440325,3,0.7,0.1,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44d5b178,3,0.7,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.0529320240020752
347708ad,3,0.7,0.1,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2e49387e,3,0.7,0.1,compact,1.0,1.0,4.0,1.0,0.0,0.16064585037358273,1.7311649322509766
93940125,3,0.7,0.1,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1ac1852,3,0.7,0.1,compact,0.0,0.0,1.0,0.0,0.0,5.930516941478545e-155,1.5879333019256592
849d3361,3,0.7,0.5,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.2716591358184814
ca450431,3,0.7,0.5,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00bdad3f,3,0.7,0.5,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3b06dd93,3,0.7,0.5,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba3790fa,3,0.7,0.5,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65d98c76,3,0.7,0.5,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03a533a3,3,0.7,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.5105683283388704,1.6741349697113037
67fabf7a,3,0.7,0.5,compact,1.0,1.0,3.0,1.0,0.0,0.34678382232517274,2.3565220832824707
841e8920,3,0.7,0.5,compact,1.0,1.0,4.0,1.0,0.0,0.07579943295017262,2.9688751697540283
d42eca7d,3,0.7,0.5,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f6d4e2a5,3,0.7,0.5,compact,1.0,1.0,4.0,1.0,0.0,0.3843075691322091,1.498927116394043
209d67b9,3,0.7,0.5,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f2aa0c49,3,0.7,0.5,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63e2a964,3,0.7,0.5,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1440325,3,0.7,0.5,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44d5b178,3,0.7,0.5,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.239936113357544
347708ad,3,0.7,0.5,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2e49387e,3,0.7,0.5,compact,1.0,1.0,4.0,1.0,0.0,0.13116516715679058,1.285273790359497
93940125,3,0.7,0.5,compact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1ac1852,3,0.7,0.5,compact,0.0,0.0,1.0,0.0,0.0,4.235636485744319e-155,1.4222369194030762
849d3361,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.7443888187408447
ca450431,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.20504156174308186,2.047922134399414
00bdad3f,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,0.0,0.35043832202523123,1.5372438430786133
3b06dd93,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,2.455936908721924
ba3790fa,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.8451542547285166,1.3304269313812256
65d98c76,5,0.35,0.0,compact,0.8875,1.0,4.0,1.0,1.0,0.43837575820390956,3.6516690254211426
03a533a3,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.3863859176635742
67fabf7a,5,0.35,0.0,compact,1.0,1.0,4.0,1.0,0.0,0.32845004014859225,3.178023099899292
841e8920,5,0.35,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.08667996778807889,3.8770439624786377
